第1次扫描,正确率:0.5966666666666667
第2次扫描,正确率:0.5991666666666666
第3次扫描,正确率:0.5891666666666666
第4次扫描,正确率:0.5741666666666667
第5次扫描,正确率:0.5233333333333333
第6次扫描,正确率:0.5166666666666667
第7次扫描,正确率:0.5183333333333333
第8次扫描,正确率:0.53
第9次扫描,正确率:0.5308333333333334
第10次扫描,正确率:0.5333333333333333
第11次扫描,正确率:0.5383333333333333
第12次扫描,正确率:0.5408333333333334
第13次扫描,正确率:0.545
第14次扫描,正确率:0.5383333333333333
