第1次扫描,正确率:0.5991666666666666
第2次扫描,正确率:0.5933333333333334
第3次扫描,正确率:0.5966666666666667
第4次扫描,正确率:0.5941666666666666
第5次扫描,正确率:0.5933333333333334
第6次扫描,正确率:0.5933333333333334
第7次扫描,正确率:0.5933333333333334
第8次扫描,正确率:0.5933333333333334
第9次扫描,正确率:0.5933333333333334
第10次扫描,正确率:0.5933333333333334
第11次扫描,正确率:0.5933333333333334
第12次扫描,正确率:0.5933333333333334
第13次扫描,正确率:0.5933333333333334
第14次扫描,正确率:0.5941666666666666
第15次扫描,正确率:0.5941666666666666
第16次扫描,正确率:0.595
第17次扫描,正确率:0.595
